"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"124","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-12-01,16729866.245,311391.44,654235.085,32.6193571428571,11.9182142857143,3.09471428571429,14.4697142857143
"125","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-01-01,15576023.605,286712.68,605984.001,32.8065,11.9336428571429,2.53142857142857,13.5172142857143
"126","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-02-01,8301914.444,147965.923,323465.344,41.4530714285714,14.2453571428571,1.92985714285714,13.6247142857143
"127","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-03-01,10153005.36,179254.409,397890.61,38.2354285714286,13.7272142857143,2.03542857142857,13.871
"128","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-04-01,12648557.365,222669.902,490083.657,33.9051428571429,12.1800714285714,2.50571428571429,13.9537142857143
"129","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-05-01,13005257.579,225763.883,490823.894,44.6597142857143,16.3392857142857,2.38271428571429,13.8106428571429
"130","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-06-01,12371013.613,216214.936,468091.868,37.0405714285714,14.3815714285714,2.47164285714286,13.8825
"131","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-07-01,14117440.655,247645.383,527763.706,75.3206428571429,22.4547142857143,2.88157142857143,13.0386428571429
"132","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-08-01,14027902.55,242029.097,517274.281,75.8508571428571,21.6479285714286,2.84485714285714,12.9397857142857
"133","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-09-01,13468955.871,226434.542,484297.401,80.6727142857143,23.4237142857143,2.7355,13.5266428571429
"134","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-10-01,12476491.003,208930.089,449715.357,66.6983571428571,20.3672857142857,2.31092857142857,13.7302142857143
"135","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-11-01,11689136.047,187928.919,420713.662,66.5079285714286,20.5454285714286,2.34121428571429,13.3901428571429
"136","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2023-12-01,20161915.767,337545.313,715493.511,67.6714285714286,20.8747857142857,3.62078571428571,12.9645
"137","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-01-01,17786704.347,294547.16,631770.039,65.0543571428571,20.0949285714286,2.69614285714286,12.3227857142857
"138","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-02-01,10365992.101,163439.472,377733.944,66.6821428571428,20.2726428571429,2.079,12.7867857142857
"139","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-03-01,11128118.045,174068.403,405683.57,62.5602857142857,18.7587857142857,2.25514285714286,12.7027142857143
"140","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-04-01,12848652.896,198101.981,463636.842,65.5570714285714,19.804,2.15507142857143,12.8735714285714
"141","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-05-01,13073302.816,197063.487,445116.552,64.4487142857143,19.6430714285714,2.38921428571429,12.8127857142857
"142","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-06-01,11670928.403,174055.633,396563.84,64.9831428571429,19.7645,2.19878571428571,12.1417857142857
"143","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-07-01,12379486.532,182452.728,426881.828,65.6871428571429,19.664,1.95185714285714,11.7286428571429
"144","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-08-01,11474381.125,168253.226,398363.756,40.3525,13.6874285714286,2.012,11.8964285714286
"145","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-09-01,11943705.934,176887.306,407154.309,40.0295714285714,13.8636428571429,2.02064285714286,12.7398571428571
"146","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-10-01,10719948.2,153630.271,363794.497,41.3117142857143,14.0145,1.75892857142857,12.8242142857143
"147","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-11-01,10077360.361,144954.28,341853.961,40.8627142857143,14.0240714285714,1.70007142857143,12.7132142857143
"148","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2024-12-01,16269306.559,239354.256,535747.247,40.6450714285714,14.1695,2.11378571428571,13.1451428571429
"149","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2021-12-01,1429988.723,12724.999,21829.14,112.376,65.508,15.373,6.836
"150","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-01-01,1662247.958,13781.732,23573.604,120.612,70.513,13.412,7.781
"151","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-02-01,3190865.669,19896.927,36552.325,160.37,87.296,8.506,24.065
"152","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-03-01,4587308.934,36182.018,68516.49,126.784,66.952,12.212,23.882
"153","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-04-01,1961520.982,16786.084,29099.221,116.854,67.408,13.281,9.791
"154","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-05-01,1897803.768,15893.246,26501.531,119.409,71.611,14.954,6.572
"155","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-06-01,1939332.196,16342.122,27832.905,118.671,69.678,19.063,5.946
"156","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-07-01,2310635.248,19469.639,32501.42,118.679,71.093,22.658,6.284
"157","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-08-01,2157235.091,17708.968,29548.496,121.816,73.007,17.482,6.236
"158","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-09-01,2223575.452,18153.993,30283.271,122.484,73.426,21.478,6.103
"159","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-10-01,2435458.633,19494.607,32120.574,124.93,75.822,22.453,6.506
"160","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-11-01,2521640.189,20063.139,33818.999,125.685,74.563,22.722,6.636
"161","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2022-12-01,3002212.402,23880.414,39788.664,125.719,75.454,26.769,6.927
"162","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2023-01-01,2707726.352,21238.971,35694.655,127.489,75.858,20.142,6.902
"163","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2023-02-01,2928788.836,23186.286,38026.8,126.316,77.019,26.047,7.076
"164","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2023-03-01,3909498.698,30263.072,49248.45,129.184,79.383,33.868,6.812
"165","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2023-04-01,4244039.272,32460.021,52574.525,130.747,80.724,35.353,6.879
"166","Autoservicios Total Mexico_MT","MULTI-PACK CRUZADO","COLA",2023-05-01,5243058.286,38888.706,63031.773,134.822,83.181,28.488,8.644
